				ch1äpìx	ch2äpìx													
FFFFFCFD	41	FFFFFB24	FFFFFD07	-85.181	-121.45	-109.05	deg	0	----	89	34.2							
FFFFFCF3	55	FFFFFA9C	FFFFFDAD	-83.789	-113.32	-103.27	deg	0	----	89	34.2							
FFFFFD06	31	FFFFFA0E	FFFFFE97	-86.321	-103.34	-97.779	deg	0	----	89	34.2							
FFFFFD12	0000001E	FFFFFA54	FFFFFE4C	-87.709	-106.71	-100.44	deg	0	----	89	34.2							
FFFFFCF5	52	FFFFFAD5	FFFFFD55	-83.991	-117.3	-105.95	deg	0	----	89	34.2							
FFFFFD0D	34	FFFFFA35	FFFFFE84	-86.06	-104.37	-98.338	deg	0	----	89	34.2							
FFFFFD14	18	FFFFFA33	FFFFFE79	-88.162	-104.75	-99.333	deg	0	----	89	34.2							
FFFFFCEB	33	FFFFFAD7	FFFFFD41	-86.302	-118.02	-107.17	deg	0	----	89	34.2							
FFFFFD23	42	FFFFFA46	FFFFFE71	-84.855	-105.22	-98.611	deg	0	----	008A	34.5							
FFFFFD08	0000001B	FFFFFA29	FFFFFE6D	-87.965	-105.08	-99.466	deg	0	----	008A	34.5							
FFFFFCE3	30	FFFFFABA	FFFFFD88	-86.553	-115.08	-105.21	deg	0	----	008A	34.5							
FFFFFD05	0000004D	FFFFFAF1	FFFFFD5A	-84.237	-117.63	-106.27	deg	0	----	008A	34.5							
FFFFFD01	0000002B	FFFFFA1F	FFFFFE74	-86.791	-104.74	-98.831	deg	0	----	008A	34.5							
FFFFFCE8	31	FFFFFA94	FFFFFDB8	-86.46	-112.81	-103.78	deg	0	----	008A	34.5							
FFFFFD08	40	FFFFFAF6	FFFFFD49	-85.186	-118.31	-107.1	deg	0	----	008A	34.5							
FFFFFD1C	44	FFFFFA86	FFFFFE33	-84.75	-108.2	-100.39	deg	0	----	008A	34.5							
FFFFFCE9	29	FFFFFA94	FFFFFD74	-87.033	-115.16	-105.66	deg	0	----	008A	34.5							
FFFFFD06	41	FFFFFAD5	FFFFFD8E	-85.124	-115.32	-105.06	deg	0	----	008A	34.5							
FFFFFD26	0000004D	FFFFFA9B	FFFFFE3D	-83.979	-108.08	-100.04	deg	0	----	008A	34.5							
FFFFFCFF	0000002E	FFFFFA56	FFFFFE01	-86.577	-109.41	-101.83	deg	0	----	008A	34.5							
FFFFFD0A	44	FFFFFABA	FFFFFDD0	-84.874	-112.52	-103.13	deg	0	----	008A	34.5							
FFFFFD1D	0000004C	FFFFFACC	FFFFFDF1	-84.128	-111.58	-102.28	deg	0	----	008A	34.5							
FFFFFCF7	0000002F	FFFFFA5D	FFFFFDE9	-86.538	-110.34	-102.39	deg	0	----	008A	34.5							
FFFFFCF7	28	FFFFFA39	FFFFFE04	-87.053	-108.95	-101.72	deg	0	----	008A	34.5							
FFFFFD0B	0000004A	FFFFFADB	FFFFFDB3	-84.417	-114.09	-103.94	deg	0	----	008A	34.5							
